RecordID,Timestamp,Message
REC-000001,2025-08-26 13:05:47,Facing an issue where my workstation at training hall showing disk full this has been happening since yesterday.
REC-000002,2025-09-07 15:08:47,Facing an issue where performance on Word is extremely slow this is blocking me from completing my tasks.
REC-000003,2025-09-14 12:30:47,Problem encountered: VPN connection drops every few minutes causing delays in project work.
REC-000004,2025-06-29 07:41:47,Request for support regarding the printer at remote is not working again need this fixed ASAP. Contact: ahmed.h
REC-000005,2025-09-20 03:09:47,Could you please check can't log in to Excel need this fixed ASAP.
REC-000006,2025-09-18 07:49:47,Problem encountered: can't log in to PowerPoint please install Adobe Acrobat.
REC-000007,2025-08-30 13:25:47,"Facing an issue where unable to access Word, request ID #TKT-74898 please setup new email account."
REC-000008,2025-09-09 03:26:47,User youssef.t reported: my phone at datacenter showing error code 720 please install VPN client. Contact: hannah.j
REC-000009,2025-07-01 07:36:47,"Need urgent help with performance on chrome is extremely slow already tried restarting, no success."
REC-000010,2025-07-14 11:42:47,li.chen submitted a ticket: SAP refuses to start after update this is blocking me from completing my tasks. Contact: sofia.g
REC-000011,2025-07-09 03:29:47,"User sofia.g reported: unable to access Chrome, request ID #TKT-41791 already tried restarting, no success. Contact: ahmed.h"
REC-000012,2025-08-26 04:46:47,Problem encountered: VPN connection drops every few minutes colleagues on training hall also affected.
REC-000013,2025-08-31 22:09:47,Request for support regarding the workstation keeps restarting randomly this has been happening since yesterday.
REC-000014,2025-09-18 20:39:47,Facing an issue where VPN connection drops every few minutes need this fixed ASAP. Contact: sofia.g
REC-000015,2025-07-15 03:35:47,"User david.p reported: unable to access Chrome, request ID #TKT-19010 please fix wifi."
REC-000016,2025-08-22 12:31:47,"Need urgent help with can't log in to Chrome already tried restarting, no success. Contact: khaled.a"
REC-000017,2025-09-22 10:01:47,Request for support regarding performance on Outlook is extremely slow need this fixed ASAP. Contact: khaled.a
REC-000018,2025-09-20 19:49:47,Request for support regarding my server at floor 3 showing not responding causing delays in project work.
REC-000019,2025-06-27 21:23:47,Request for support regarding can't log in to Teams colleagues on HQ also affected.
REC-000020,2025-09-21 07:19:47,Request for support regarding vpn connection drops every few minutes need this fixed asap.
REC-000021,2025-07-25 15:36:47,Facing an issue where performance on Outlook is extremely slow please fix wifi.
REC-000022,2025-07-30 18:59:47,"Need urgent help with VPN connection drops every few minutes already tried restarting, no success."
REC-000023,2025-09-19 23:39:47,"Need urgent help with my desktop at floor 1 showing unknown host already tried restarting, no success."
REC-000024,2025-07-14 17:36:47,User maria.l reported: performance on Slack is extremely slow colleagues on remote also affected. Contact: alex.b
REC-000025,2025-08-31 16:50:47,Need urgent help with the printer at datacenter is not working again this has been happening since yesterday. Contact: george.t
REC-000026,2025-08-03 21:47:47,"Request for support regarding my workstation at branch office showing printer jam already tried restarting, no success. Contact: khaled.a"
REC-000027,2025-09-16 20:41:47,User nina.b reported: my workstation at floor 2 showing disk full please grant access to shared drive.
REC-000028,2025-09-08 23:49:47,maria.l submitted a ticket: can't log in to PowerPoint causing delays in project work. Contact: sarah.k
REC-000029,2025-07-23 03:58:47,I'm having trouble with performance on Zoom is extremely slow causing delays in project work.
REC-000030,2025-08-01 11:57:47,Facing an issue where the printer at floor 3 is not working again this is blocking me from completing my tasks.
